,Experiment,Bar,min_row,min_col,max_row,max_col,Orientation,Width,Length,Bra_init_mean,Bra_init_std,Bra_final_mean,Bra_final_std,H2B_init_mean,H2B_init_std,H2B_final_mean,H2B_final_std,Ncells_init,Ncells_final,frame0
0,20240311,1,278,1273,451,1317,vertical,44,173,4933.894241010762,1646.2049720800087,3645.778139945312,2390.4911033874832,12090.43388998822,2313.8888946736365,10951.1809740195,2074.2591509416816,91.0,62.0,6.0
1,20240311,2,282,1427,412,1471,vertical,44,130,4732.695688187991,1265.6675651598405,3220.968651037052,1029.3532349203629,11969.359208765218,2034.8058837458711,12772.387452458112,1990.4813467559084,84.0,71.0,6.0
2,20240311,3,523,1425,739,1469,vertical,44,216,4605.103297531683,1112.7711653737767,2876.4331989956386,1194.9701031032605,11688.752840816762,1835.8153258684008,11333.675650165518,2145.907558208554,134.0,77.0,6.0
3,20240311,4,565,1271,738,1315,vertical,44,173,4441.278751822475,1233.4200404225437,2924.2830211192254,1265.3672858504654,11030.052645079722,2347.644502722434,12087.086936276057,2066.876063414139,84.0,88.0,6.0
4,20240311,5,836,381,1009,425,vertical,44,173,4359.366379019921,1432.706813666992,3138.669413700163,1247.569686968823,11619.118990370484,2356.237720649549,13332.778475828902,2450.377413229637,94.0,77.0,6.0
5,20240311,6,847,1416,977,1460,vertical,44,130,5069.370310679656,1219.6629817746707,3474.904406494853,1534.371496548154,11853.002258616469,2204.755767471431,13030.089262178406,2584.442746713108,82.0,56.0,6.0
6,20240311,7,849,1265,1022,1309,vertical,44,173,4962.01665143499,1397.9462364853114,2951.39782854882,1229.0560381415482,11599.415105051256,2098.029138442815,11980.138533955773,1926.1813659772,99.0,67.0,6.0
7,20240311,8,1075,532,1291,576,vertical,44,216,3680.278237378965,1554.2696419170857,2594.176424391645,1081.4507255435624,9759.559845550984,2363.1898556531105,11408.828345629843,2307.525660227318,118.0,102.0,6.0
8,20240311,9,1079,671,1295,715,vertical,44,216,4694.625736591664,1289.4764853573452,3077.5322487192034,2056.227582225407,11200.22005497693,2114.748354583452,11166.504081409768,3071.4661787149435,114.0,67.0,6.0
9,20240311,10,1081,974,1297,1018,vertical,44,216,4669.615708404524,1397.9932589012287,2536.577503989324,771.163244957344,11259.389567106544,2599.5347942540284,9972.880703705969,2699.0650435540515,121.0,47.0,6.0
10,20240311,11,1082,1112,1298,1156,vertical,44,216,4046.453803767301,1230.489162892718,2106.41706587586,986.078742117846,10799.41799447596,2567.365566596224,9874.055046467223,2578.1319242233862,109.0,58.0,6.0
11,20240311,12,1086,1416,1302,1460,vertical,44,216,5023.485560371874,1526.2921770845055,3269.002216028956,1656.458573140062,11812.339516463107,2518.1840893437475,12276.347187538133,2971.8895108486013,128.0,71.0,6.0
12,20240311,13,1124,820,1297,864,vertical,44,173,4485.084000341362,1447.1251731180216,2984.6349682176665,1205.668644133665,11442.524154668628,2041.240478536926,11546.926723825374,2641.802071204178,95.0,37.0,6.0
13,20240311,14,1125,378,1298,422,vertical,44,173,5058.832298631689,2353.5273284689374,2435.525958594207,632.6274045829747,11312.741057943796,2521.494610965542,11481.998447696056,2483.1632565318328,81.0,62.0,6.0
14,20240311,15,1129,1263,1302,1307,vertical,44,173,4633.544723957339,1332.9768711465135,2120.5353456294174,710.4777919937563,11458.758341305267,2453.0754309778204,9997.937237751468,2521.4378617682823,80.0,36.0,6.0
15,20240317,1,174,91,391,135,vertical,44,217,3670.63799729831,1481.346601405204,2341.1511411718143,1031.860562735557,10420.678972343138,1816.2041795969797,11749.31768020228,2546.10585895528,111.0,126.0,16.0
16,20240317,2,174,233,391,277,vertical,44,217,3632.831775832976,929.1604018099446,2775.5445486505228,1243.294605198393,10517.098228198256,2009.3953400238056,11302.059205265325,2579.4973253093244,114.0,117.0,16.0
17,20240317,3,177,675,394,719,vertical,44,217,3534.0024682119374,1116.726440672811,2575.235096740094,945.093004325961,9769.032358422222,2117.174585020259,11829.6402606169,2383.072244898608,120.0,134.0,16.0
18,20240317,4,184,1423,401,1467,vertical,44,217,3813.07455495862,1110.645959478682,3129.180066243709,1498.290737894005,11492.345986500171,2434.3153488628013,12166.628270315505,2004.0050021157065,172.0,115.0,16.0
19,20240317,5,504,91,635,135,vertical,44,131,2950.859742603063,926.073954542574,1972.2143147309573,866.078281446981,8793.755763778277,1649.5012292030187,11401.01159660858,2336.920730307146,59.0,81.0,16.0
20,20240317,6,507,230,638,274,vertical,44,131,3242.6380917725605,921.5159595152152,2244.741189622505,753.3064560068192,9439.369158298854,1403.400103937921,12176.2060183721,2469.6963482277565,70.0,77.0,16.0
21,20240317,7,508,975,639,1019,vertical,44,131,3116.655376084768,925.5874636165776,2261.78485342646,1090.003425195647,9248.148566920405,1848.6884831251448,11079.85516724294,2601.8332552310767,60.0,59.0,16.0
22,20240317,8,513,1269,687,1313,vertical,44,174,3084.4032461242978,800.3517716356162,2325.1328700698664,914.141494037102,9545.970496648728,1960.2184822867264,11760.284066858096,2124.672775703596,80.0,84.0,16.0
23,20240317,9,746,229,963,273,vertical,44,217,3770.434178700089,907.750910942541,3080.034934806364,1244.6944264044655,11359.744730259466,1758.665415506495,12428.037100651469,2913.5141175482468,156.0,115.0,16.0
24,20240317,10,747,529,964,573,vertical,44,217,3558.503909144708,1018.3923141203742,2659.0224317815496,1145.980904255406,11039.629001242502,2061.9169683380837,12791.600623761682,2718.290165659604,168.0,154.0,16.0
25,20240317,11,748,970,965,1014,vertical,44,217,3450.133670849877,1435.5895199176607,2181.318555357904,880.0527810466712,10506.164311671004,2192.806901816981,12039.864294271973,2684.1584787405955,105.0,113.0,16.0
26,20240317,12,750,1114,967,1158,vertical,44,217,3227.0162624955647,1246.8934255224192,2060.401607877064,653.0321664059766,10121.241473690829,2389.322651918376,11401.190873115936,1861.520576820545,94.0,109.0,16.0
