branch_index,point_index,par,mu,l0,mode_k
0,0,0.100000,-0.000000,-0.000000,0.250000
0,1,0.200000,-0.000000,0.000000,0.250000
0,2,0.300000,-0.000000,0.000000,0.250000
0,3,0.400000,0.000000,0.000000,0.250000
0,4,0.500000,-0.000000,0.000000,0.250000
0,5,0.600000,0.000000,-0.000001,0.250000
0,6,0.700000,-0.000000,0.000000,0.250000
0,7,0.800000,-0.000000,0.000000,0.250000
0,8,0.900000,-0.000000,0.000000,0.250000
0,9,1.000000,-0.000000,0.000000,0.250000
0,10,1.100000,-0.000000,0.000000,0.250000
0,11,1.200000,-0.000000,0.000000,0.250000
0,12,1.300000,-0.000000,0.054082,0.250000
0,13,1.400000,0.000000,1.249291,0.250000
0,14,1.500000,0.000000,2.468332,0.250000
0,15,1.600000,-0.000000,3.707166,0.250000
0,16,1.700000,0.000000,4.962423,0.250000
0,17,1.800000,0.000000,6.231363,0.250000
0,18,1.900000,0.000000,7.511855,0.250000
0,19,2.000000,0.000000,8.802364,0.250000
0,20,2.100000,0.000000,10.101949,0.250000
0,21,2.200000,0.000000,11.410288,0.250000
0,22,2.300000,-0.000000,12.727723,0.250000
0,23,2.400000,0.000000,14.055302,0.250000
0,24,2.500000,0.000000,15.394902,0.250000
0,25,2.600000,-0.000000,16.749368,0.250000
0,26,2.700000,0.000000,18.122703,0.250000
0,27,2.800000,0.000000,19.520360,0.250000
0,28,2.900000,0.000000,20.949613,0.250000
0,29,3.000000,-0.000000,22.882365,0.250000
0,30,3.100000,0.000000,26.101354,0.250000
0,31,3.200000,-0.000000,29.341381,0.250000
0,32,3.300000,-0.000000,32.599887,0.250000
0,33,3.400000,0.000000,35.874649,0.250000
0,34,3.500000,0.000000,39.163757,0.250000
0,35,3.600000,0.000000,42.465658,0.250000
0,36,3.700000,0.000000,45.779147,0.250000
0,37,3.800000,0.000000,49.103395,0.250000
0,38,3.900000,0.000000,52.437971,0.250000
0,39,4.000000,0.000000,55.782868,0.250000
0,40,4.100000,0.000000,59.138549,0.250000
0,41,4.200000,0.000000,62.505989,0.250000
0,42,4.300000,0.000000,65.886739,0.250000
0,43,4.400000,0.000000,69.283000,0.250000
0,44,4.500000,0.000000,72.697717,0.250000
0,45,4.600000,0.000000,76.134687,0.250000
0,46,4.700000,0.000000,79.598701,0.250000
0,47,4.800000,0.000000,83.095699,0.250000
0,48,4.900000,0.000000,86.632959,0.250000
