branch_index,point_index,par,mu,l0,mode_k
0,0,-10.000000,-0.012938,0.000000,1.000000
0,1,-9.800056,-0.012933,0.000000,1.000000
0,2,-9.600072,-0.012931,0.000000,1.000000
0,3,-9.400088,-0.012929,0.000000,1.000000
0,4,-9.200104,-0.012926,0.000000,1.000000
0,5,-9.000120,-0.012924,0.000000,1.000000
0,6,-8.800114,-0.012922,0.000000,1.000000
0,7,-8.600130,-0.012920,0.000000,1.000000
0,8,-8.400147,-0.012917,0.000000,1.000000
0,9,-8.200163,-0.012915,0.000000,1.000000
0,10,-7.999528,-0.012912,0.000000,1.000000
0,11,-7.799552,-0.012911,0.000000,1.000000
0,12,-7.599398,-0.012909,0.000000,1.000000
0,13,-7.399404,-0.012907,0.000000,1.000000
0,14,-7.199421,-0.012904,0.000000,1.000000
0,15,-6.999439,-0.012901,-0.000000,1.000000
0,16,-6.799457,-0.012899,0.000000,1.000000
0,17,-6.599475,-0.012896,0.000000,1.000000
0,18,-6.399493,-0.012894,-0.000000,1.000000
0,19,-6.199511,-0.012891,0.000000,1.000000
0,20,-5.999530,-0.012888,-0.000000,1.000000
0,21,-5.799548,-0.012886,-0.000000,1.000000
0,22,-5.599567,-0.012883,-0.000000,1.000000
0,23,-5.399586,-0.012880,0.000000,1.000000
0,24,-5.199605,-0.012878,0.000000,1.000000
0,25,-4.999625,-0.012875,-0.000000,1.000000
0,26,-4.799644,-0.012872,-0.000000,1.000000
0,27,-4.599664,-0.012869,-0.000000,1.000000
0,28,-4.399684,-0.012866,-0.000000,1.000000
0,29,-4.199704,-0.012864,-0.000000,1.000000
0,30,-3.999724,-0.012861,-0.000000,1.000000
0,31,-3.799745,-0.012858,-0.000000,1.000000
0,32,-3.599765,-0.012855,-0.000000,1.000000
0,33,-3.399786,-0.012852,-0.000000,1.000000
0,34,-3.199807,-0.012849,0.000000,1.000000
0,35,-2.999829,-0.012846,0.000000,1.000000
0,36,-2.799850,-0.012843,0.000000,1.000000
0,37,-2.599872,-0.012840,-0.000000,1.000000
0,38,-2.399894,-0.012837,0.000000,1.000000
0,39,-2.199916,-0.012834,0.000000,1.000000
0,40,-1.999938,-0.012831,-0.000000,1.000000
0,41,-1.799961,-0.012828,0.000000,1.000000
0,42,-1.599984,-0.012825,0.000000,1.000000
0,43,-1.400007,-0.012821,0.000000,1.000000
0,44,-1.200030,-0.012818,0.000000,1.000000
0,45,-1.000054,-0.012815,-0.000000,1.000000
0,46,-0.800078,-0.012812,-0.000000,1.000000
0,47,-0.600102,-0.012808,0.000000,1.000000
0,48,-0.400126,-0.012805,0.000000,1.000000
0,49,-0.200151,-0.012802,0.000000,1.000000
0,50,-0.000176,-0.012797,-0.000000,1.000000
0,51,0.225940,-0.012794,0.001267,1.000000
0,52,0.425915,-0.012791,0.002434,1.000000
0,53,0.625889,-0.012788,0.003642,1.000000
0,54,0.825863,-0.012784,0.004892,1.000000
0,55,1.025837,-0.012780,0.006187,1.000000
0,56,1.225810,-0.012777,0.007527,1.000000
0,57,1.425783,-0.012773,0.008913,1.000000
0,58,1.625756,-0.012770,0.010348,1.000000
0,59,1.825728,-0.012766,0.011831,1.000000
0,60,2.025700,-0.012762,0.013365,1.000000
0,61,2.225672,-0.012758,0.014951,1.000000
0,62,2.425644,-0.012754,0.016590,1.000000
0,63,2.625615,-0.012751,0.018284,1.000000
0,64,2.825586,-0.012747,0.020035,1.000000
0,65,3.025556,-0.012743,0.021843,1.000000
0,66,3.225526,-0.012739,0.023657,1.000000
0,67,3.425496,-0.012735,0.025641,1.000000
0,68,3.625465,-0.012731,0.027634,1.000000
0,69,3.825434,-0.012726,0.029692,1.000000
0,70,4.025403,-0.012722,0.031816,1.000000
0,71,4.225371,-0.012718,0.034009,1.000000
0,72,4.425338,-0.012714,0.036272,1.000000
0,73,4.625306,-0.012709,0.038608,1.000000
0,74,4.825273,-0.012705,0.041019,1.000000
0,75,5.025239,-0.012700,0.043507,1.000000
0,76,5.225205,-0.012696,0.046006,1.000000
0,77,5.425170,-0.012691,0.048721,1.000000
0,78,5.625136,-0.012686,0.051383,1.000000
0,79,5.825100,-0.012682,0.054271,1.000000
0,80,6.025064,-0.012677,0.057177,1.000000
0,81,6.225028,-0.012672,0.060101,1.000000
0,82,6.424990,-0.012667,0.063268,1.000000
0,83,6.624952,-0.012661,0.066457,1.000000
0,84,6.824914,-0.012656,0.069747,1.000000
0,85,7.024875,-0.012651,0.073140,1.000000
0,86,7.224835,-0.012645,0.076639,1.000000
0,87,7.424794,-0.012639,0.080248,1.000000
0,88,7.624753,-0.012634,0.083970,1.000000
0,89,7.824711,-0.012628,0.087810,1.000000
0,90,8.024668,-0.012621,0.091678,1.000000
0,91,8.224622,-0.012615,0.095857,1.000000
0,92,8.424576,-0.012608,0.100073,1.000000
0,93,8.624530,-0.012602,0.104323,1.000000
0,94,8.824479,-0.012594,0.108913,1.000000
0,95,9.024427,-0.012587,0.113547,1.000000
0,96,9.224373,-0.012579,0.118332,1.000000
0,97,9.424315,-0.012571,0.123273,1.000000
0,98,9.624252,-0.012563,0.128377,1.000000
0,99,9.824184,-0.012554,0.133652,1.000000
0,100,10.024110,-0.012545,0.139104,1.000000
0,101,10.224026,-0.012535,0.144742,1.000000
0,102,10.423931,-0.012524,0.150575,1.000000
0,103,10.623822,-0.012513,0.156614,1.000000
0,104,10.823692,-0.012501,0.162869,1.000000
0,105,11.023538,-0.012488,0.169353,1.000000
0,106,11.223349,-0.012474,0.176079,1.000000
0,107,11.423116,-0.012459,0.183066,1.000000
0,108,11.622824,-0.012443,0.190325,1.000000
0,109,11.822452,-0.012426,0.197879,1.000000
0,110,12.021974,-0.012406,0.205750,1.000000
0,111,12.221355,-0.012385,0.213962,1.000000
0,112,12.420545,-0.012362,0.222543,1.000000
0,113,12.619479,-0.012336,0.231524,1.000000
0,114,12.818067,-0.012308,0.240945,1.000000
0,115,13.016191,-0.012276,0.250848,1.000000
0,116,13.213687,-0.012241,0.261276,1.000000
0,117,13.410337,-0.012202,0.272282,1.000000
0,118,13.605848,-0.012158,0.283930,1.000000
0,119,13.799831,-0.012109,0.296283,1.000000
0,120,13.991773,-0.012053,0.309412,1.000000
0,121,14.181015,-0.011991,0.323392,1.000000
0,122,14.366725,-0.011921,0.338297,1.000000
0,123,14.547891,-0.011843,0.354195,1.000000
0,124,14.723341,-0.011756,0.371146,1.000000
0,125,14.891794,-0.011661,0.389193,1.000000
0,126,15.051958,-0.011555,0.408359,1.000000
0,127,15.202656,-0.011441,0.428649,1.000000
0,128,15.342951,-0.011319,0.450052,1.000000
0,129,15.472234,-0.011188,0.472555,1.000000
0,130,15.590251,-0.011050,0.496147,1.000000
0,131,15.697067,-0.010906,0.520832,1.000000
0,132,15.793001,-0.010756,0.546634,1.000000
0,133,15.878538,-0.010601,0.573600,1.000000
0,134,15.954249,-0.010442,0.601792,1.000000
0,135,16.020735,-0.010278,0.631301,1.000000
0,136,16.078581,-0.010110,0.662233,1.000000
0,137,16.128336,-0.009939,0.694712,1.000000
0,138,16.170492,-0.009765,0.728880,1.000000
0,139,16.205486,-0.009587,0.764895,1.000000
0,140,16.233697,-0.009406,0.802933,1.000000
0,141,16.255446,-0.009222,0.843179,1.000000
0,142,16.271007,-0.009034,0.885845,1.000000
0,143,16.280605,-0.008843,0.931153,1.000000
0,144,16.284430,-0.008649,0.979343,1.000000
0,145,16.282634,-0.008452,1.030663,1.000000
0,146,16.275341,-0.008252,1.085393,1.000000
0,147,16.262651,-0.008048,1.143829,1.000000
0,148,16.244646,-0.007842,1.206271,1.000000
0,149,16.221391,-0.007632,1.273043,1.000000
0,150,16.192941,-0.007420,1.344489,1.000000
0,151,16.159343,-0.007205,1.420966,1.000000
0,152,16.120641,-0.006988,1.569408,1.000000
0,153,16.076877,-0.006768,1.754507,1.000000
0,154,16.028093,-0.006546,1.938609,1.000000
0,155,15.974338,-0.006322,2.122414,1.000000
0,156,15.915659,-0.006097,2.306619,1.000000
0,157,15.852116,-0.005870,2.491895,0.250000
0,158,15.783774,-0.005642,2.678912,0.250000
0,159,15.710702,-0.005414,2.868344,0.250000
0,160,15.632977,-0.005185,3.060857,0.250000
0,161,15.550682,-0.004957,3.257115,0.250000
0,162,15.463908,-0.004728,3.457783,0.250000
0,163,15.372750,-0.004501,3.663521,2.250000
0,164,15.277308,-0.004274,3.874995,2.250000
