,Unnamed: 0,t,dominant_mode,dscore,amplitude,is_polarized_mode,is_polarized_dscore,pattern_group,alpha,L,beta_factor,rho0
138604,4,2.4242424242424243,0.5,0.8191867830346417,0.9730460140356204,True,True,1,20.0,3.1724137931034484,1.0,0.4
138637,4,2.4242424242424243,0.5,0.7156847218770152,0.890594534211725,True,True,1,20.0,3.1724137931034484,1.0,0.4
138670,4,2.4242424242424243,0.5,0.6318395333222471,0.9497782327524688,True,True,1,20.0,3.1724137931034484,1.0,0.4
138703,4,2.4242424242424243,0.5,0.7194881878663804,0.9751150605502512,True,True,1,20.0,3.1724137931034484,1.0,0.4
138736,4,2.4242424242424243,0.5,0.8787950805717036,0.9214289870231996,True,True,1,20.0,3.1724137931034484,1.0,0.4
138769,4,2.4242424242424243,0.5,0.9184936712012278,0.9601783043153151,True,True,1,20.0,3.1724137931034484,1.0,0.4
138802,4,2.4242424242424243,1.0,0.4232491558424642,0.9350483512550564,False,True,2,20.0,3.1724137931034484,1.0,0.4
138835,4,2.4242424242424243,0.5,0.735468590351408,0.9482908590317518,True,True,1,20.0,3.1724137931034484,1.0,0.4
138868,4,2.4242424242424243,0.5,0.7558434561056144,0.9671769134757308,True,True,1,20.0,3.1724137931034484,1.0,0.4
138901,4,2.4242424242424243,0.5,0.9319566465772828,0.940801007701556,True,True,1,20.0,3.1724137931034484,1.0,0.4
138934,4,2.4242424242424243,0.5,0.8981353722641559,0.973788612908905,True,True,1,20.0,3.1724137931034484,1.0,0.4
138967,4,2.4242424242424243,1.0,0.3521815465516373,0.9516646896698954,False,True,2,20.0,3.1724137931034484,1.0,0.4
139000,4,2.4242424242424243,0.5,0.7412452410356645,0.9467252487832448,True,True,1,20.0,3.1724137931034484,1.0,0.4
139033,4,2.4242424242424243,0.5,0.8098471701961861,0.972740151221126,True,True,1,20.0,3.1724137931034484,1.0,0.4
139066,4,2.4242424242424243,0.5,0.7153152145542908,0.9474796406325462,True,True,1,20.0,3.1724137931034484,1.0,0.4
139099,4,2.4242424242424243,0.5,0.9279173812845178,0.9398314817900238,True,True,1,20.0,3.1724137931034484,1.0,0.4
139132,4,2.4242424242424243,0.5,0.7325068460776368,0.9607456300498928,True,True,1,20.0,3.1724137931034484,1.0,0.4
139165,4,2.4242424242424243,0.5,0.8125384282628518,0.942920714640468,True,True,1,20.0,3.1724137931034484,1.0,0.4
139198,4,2.4242424242424243,0.5,0.9417641426581967,0.946693240296956,True,True,1,20.0,3.1724137931034484,1.0,0.4
139231,4,2.4242424242424243,1.0,0.3835420697339062,0.951184824318482,False,True,2,20.0,3.1724137931034484,1.0,0.4
139264,4,2.4242424242424243,0.5,0.701530960016871,0.9423588397210442,True,True,1,20.0,3.1724137931034484,1.0,0.4
139297,4,2.4242424242424243,0.5,0.90928839604046,0.943387390546312,True,True,1,20.0,3.1724137931034484,1.0,0.4
139330,4,2.4242424242424243,0.5,0.9477381973362708,0.947084247990503,True,True,1,20.0,3.1724137931034484,1.0,0.4
139363,4,2.4242424242424243,1.0,0.2127581834518745,0.9535328536092283,False,False,2,20.0,3.1724137931034484,1.0,0.4
139396,4,2.4242424242424243,1.0,0.6403884787033192,0.951453518015418,False,True,2,20.0,3.1724137931034484,1.0,0.4
139429,4,2.4242424242424243,1.25,0.0047579009780961,0.9167120025230648,False,False,3,20.0,3.1724137931034484,1.0,0.4
139462,4,2.4242424242424243,1.25,0.5830157063727506,0.969950943099284,False,True,3,20.0,3.1724137931034484,1.0,0.4
139495,4,2.4242424242424243,1.25,0.5282429036752705,0.968857459326334,False,True,3,20.0,3.1724137931034484,1.0,0.4
139528,4,2.4242424242424243,1.25,0.2076610253392895,0.9490835772005116,False,False,3,20.0,3.1724137931034484,1.0,0.4
139561,4,2.4242424242424243,0.5,0.9036155052473702,0.9303822374135868,True,True,1,20.0,3.1724137931034484,1.0,0.4
139594,4,2.4242424242424243,1.25,0.1444362770429592,0.9419406508328528,False,False,3,20.0,3.1724137931034484,1.0,0.4
139627,4,2.4242424242424243,1.0,0.0975953385779886,0.9513345618771494,False,False,2,20.0,3.1724137931034484,1.0,0.4
139660,4,2.4242424242424243,1.25,0.4591012106816875,0.9662883038903992,False,True,3,20.0,3.1724137931034484,1.0,0.4
139693,4,2.4242424242424243,1.0,0.4243897733174518,0.9523412017533586,False,True,2,20.0,3.1724137931034484,1.0,0.4
139726,4,2.4242424242424243,1.25,0.254749509001003,0.9544968231482492,False,False,3,20.0,3.1724137931034484,1.0,0.4
139759,4,2.4242424242424243,1.0,0.5368780915744104,0.9526993286666758,False,True,2,20.0,3.1724137931034484,1.0,0.4
139792,4,2.4242424242424243,0.5,0.7450981345595445,0.9734681840425008,True,True,1,20.0,3.1724137931034484,1.0,0.4
139825,4,2.4242424242424243,1.0,0.1238384294084994,0.9519416131581376,False,False,2,20.0,3.1724137931034484,1.0,0.4
139858,4,2.4242424242424243,1.0,0.3869791415671385,0.953881825918564,False,True,2,20.0,3.1724137931034484,1.0,0.4
139891,4,2.4242424242424243,0.5,0.8156097095014195,0.9461527724979066,True,True,1,20.0,3.1724137931034484,1.0,0.4
139924,4,2.4242424242424243,1.0,0.2127545433202065,0.9534773366483704,False,False,2,20.0,3.1724137931034484,1.0,0.4
139957,4,2.4242424242424243,0.5,0.9734648995075574,0.965119928624806,True,True,1,20.0,3.1724137931034484,1.0,0.4
139990,4,2.4242424242424243,0.5,0.933742144436436,0.9436708662034672,True,True,1,20.0,3.1724137931034484,1.0,0.4
140023,4,2.4242424242424243,1.25,0.0413353660026248,0.9247032000306954,False,False,3,20.0,3.1724137931034484,1.0,0.4
140056,4,2.4242424242424243,1.25,0.4349242621610729,0.9653368562751906,False,True,3,20.0,3.1724137931034484,1.0,0.4
140089,4,2.4242424242424243,1.25,0.2171464522840883,0.9498471631990704,False,False,3,20.0,3.1724137931034484,1.0,0.4
140122,4,2.4242424242424243,0.5,0.9170709705986784,0.9422238531950248,True,True,1,20.0,3.1724137931034484,1.0,0.4
140155,4,2.4242424242424243,0.5,0.7241584220171714,0.9701670012672816,True,True,1,20.0,3.1724137931034484,1.0,0.4
140188,4,2.4242424242424243,0.5,0.8164005409721367,0.978785474199331,True,True,1,20.0,3.1724137931034484,1.0,0.4
140221,4,2.4242424242424243,0.5,0.9490839716216924,0.9507831019365358,True,True,1,20.0,3.1724137931034484,1.0,0.4
140254,4,2.4242424242424243,0.5,0.7093595153174082,0.9371390739916814,True,True,1,20.0,3.1724137931034484,1.0,0.4
140287,4,2.4242424242424243,1.0,0.2367401153182571,0.952150799139133,False,False,2,20.0,3.1724137931034484,1.0,0.4
140320,4,2.4242424242424243,1.25,0.1673529424727524,0.944365877499407,False,False,3,20.0,3.1724137931034484,1.0,0.4
140353,4,2.4242424242424243,1.25,0.4482996436857073,0.96665455597797,False,True,3,20.0,3.1724137931034484,1.0,0.4
140386,4,2.4242424242424243,1.0,0.3369066615704759,0.9537933593336724,False,True,2,20.0,3.1724137931034484,1.0,0.4
140419,4,2.4242424242424243,1.25,0.5835927636558373,0.965672661123979,False,True,3,20.0,3.1724137931034484,1.0,0.4
140452,4,2.4242424242424243,0.5,0.9497601256068036,0.9511680335113356,True,True,1,20.0,3.1724137931034484,1.0,0.4
140485,4,2.4242424242424243,1.25,0.386698825692861,0.9637819331717328,False,True,3,20.0,3.1724137931034484,1.0,0.4
140518,4,2.4242424242424243,0.5,0.9584347433979472,0.9519833550545496,True,True,1,20.0,3.1724137931034484,1.0,0.4
140551,4,2.4242424242424243,1.25,0.30440125235998,0.9586766408649842,False,True,3,20.0,3.1724137931034484,1.0,0.4
