,Experiment,frame,Bra_p0,Bra_p0.5,Bra_p99.5,Bra_p100,H2B_p0,H2B_p0.5,H2B_p99.5,H2B_p100,delta_frame
0,20240311,0,488.66265060240966,646.7801618837381,11204.852997903565,18049.682926829268,2922.741071428572,5355.357032946105,17327.509505247377,22355.57543859649,-6
1,20240311,1,526.560975609756,640.8593222748815,10782.787522921397,22029.520661157025,2807.8617886178863,5530.550272983897,17566.584887012243,21518.526490066222,-5
2,20240311,2,517.2375,648.2339531991146,10756.820849918511,18914.98,2688.803738317757,5441.865676774335,17622.0301736111,21705.017804154304,-4
3,20240311,3,544.2103448275863,646.3998623612362,10422.11994524094,24965.375,2570.9274611398964,5387.840253122946,17535.59632899408,24465.416267942583,-3
4,20240311,4,479.525,645.190197951205,9996.709956209243,19616.99333333333,2411.942857142857,5348.95781049936,17761.227155154742,21827.393162393164,-2
5,20240311,5,517.5229681978799,648.1557508591065,10224.294938760566,18551.59328358209,2671.805785123967,5287.41004130243,17972.465277777777,23183.108597285067,-1
6,20240311,6,537.7341772151899,647.6502344239811,10188.495596330256,19652.064516129038,2376.7689393939395,5308.645496575343,17786.320165841567,22939.64905660377,0
7,20240311,7,512.6483516483516,638.6619810838446,9548.187641592926,18089.19270833333,2556.641304347826,5296.371569126621,18004.30222460435,22680.75451263538,1
8,20240311,8,500.3820224719101,645.5450919787869,9710.000113671254,19073.82330827068,2502.327974276527,5151.806405152224,18168.220638422405,23176.32525951557,2
9,20240311,9,492.45019920318725,635.8370586158192,9474.75555113577,20381.375,2329.7619047619046,5109.516700613541,18197.074960407255,20935.679144385027,3
10,20240311,10,523.3319672131148,642.8067123355182,9796.3747011287,19603.985507246376,2300.9169811320758,5061.867896354853,18189.0157184998,22451.700636942674,4
11,20240311,11,525.6919191919192,646.8809786057692,9947.368636499403,22685.719047619048,2196.521008403361,5120.416017801857,18191.47317352356,22015.628571428573,5
12,20240311,12,524.6715867158672,636.0084226190477,9642.107402906453,20545.59393939394,2265.074074074074,5162.214497019374,18154.564358504384,22265.57327586207,6
13,20240311,13,536.48,639.67866039953,9491.1616209343,20975.65423728813,2401.1854304635763,5068.813245614035,18389.45181489868,21833.1375,7
14,20240311,14,524.873417721519,651.5167877237851,9685.468580593428,21922.58712121212,2622.3636363636365,5190.142509748316,18389.12000505689,21953.844696969696,8
15,20240311,15,535.3193277310925,642.1635783238262,9194.384927601825,20905.148409893995,2219.333333333333,5001.810714246288,18311.108393719816,21997.86770428016,9
16,20240311,16,516.4351851851852,649.085448698661,9514.010638135851,20841.802884615383,2158.3023255813955,5037.799415954416,18455.103952976402,22951.0,10
17,20240311,17,535.4590163934427,645.5998829928242,9359.268499999998,23321.550200803213,2222.0945945945946,4836.597125506073,18330.685671191553,22417.819047619047,11
18,20240311,18,539.8714285714286,640.6507806173538,9236.013302295923,21123.10408921933,2397.243243243244,4864.672651753009,18509.499799953435,22234.094736842104,12
19,20240311,19,441.9761904761905,641.3105644596736,9506.796063038848,24065.143859649124,2300.971153846154,4859.383774104683,18291.958633395498,24219.950877192983,13
20,20240311,20,525.1746031746031,645.8434441609977,9086.147537893457,20204.41603053435,2267.4117647058824,4807.178699324324,18457.45432528409,22382.282485875705,14
21,20240311,21,524.725,639.9550947867299,9112.79791666666,21452.69611307421,2362.167883211679,4824.265761363637,18411.83692251816,23209.67175572519,15
22,20240311,22,555.7903930131005,645.0010916714864,8947.996677422545,21747.04016064257,2454.3630573248406,4646.217001145296,18417.170991769457,22134.465863453814,16
23,20240311,23,534.4888888888889,649.2754574888571,9262.316080681738,20637.85324232082,2334.972027972028,4719.67355345912,18537.46327615735,22572.30735930736,17
24,20240311,24,534.7241379310345,641.6617827819205,8823.157587014464,21164.624113475176,2383.201342281879,4715.0881619499905,18363.769003181336,23429.89723320158,18
25,20240311,25,509.7070707070707,649.4295188304773,8869.112423935092,23710.46859903381,2479.1111111111118,4803.872629042288,18315.223690948664,21515.79651162791,19
26,20240311,26,495.81875,648.8798178519594,9087.997734505132,23340.86995515695,2471.842857142857,4757.8778290565315,18497.534009541665,21462.65445026178,20
27,20240311,27,572.4559386973181,641.1666512103797,8845.784927767314,23768.79357798165,2642.8529411764707,4589.1803825268635,18631.798860477313,21680.05504587156,21
28,20240311,28,539.8313953488372,651.5939910419614,8756.399056902314,20804.32,2651.3424657534247,4599.918959244056,18510.73711432622,25410.137380191693,22
29,20240311,29,532.7551622418879,650.1283913715673,8812.526146896444,21168.462686567163,2502.2179487179487,4677.045547619047,18543.293958410253,22285.415441176472,23
30,20240311,30,539.6241379310345,651.734405909432,8659.386652685003,21961.8488372093,2517.3630136986303,4628.48061431624,18238.393171319356,22466.46153846154,24
31,20240311,31,542.6503067484663,652.772905370844,8738.52914216762,21812.984375,2552.5229357798166,4569.100879872351,18260.728533138426,21694.613559322035,25
32,20240311,32,537.56,647.2175314086031,8664.58867424242,21294.48538011696,2719.2,4644.471455789863,18330.529821837205,22727.83333333333,26
33,20240311,33,521.625,642.5555040073518,8625.333135593219,20050.960591133004,2532.978417266187,4716.80092381072,18355.572041515305,21001.23703703704,27
34,20240311,34,515.9533678756477,653.9245233237822,8738.331692827196,16708.131818181817,2530.6311475409834,4755.404526307855,18529.64771919879,21390.19827586207,28
35,20240311,35,552.4647302904565,650.4142982632629,8371.913186383925,23753.73003802281,2647.3695652173915,4813.407001976284,18432.020778423128,22910.757936507936,29
36,20240311,36,523.8746355685131,642.5971923451359,8309.048533650826,17447.75879396985,2324.734567901234,4764.454364454959,18380.945807836622,21830.130057803468,30
37,20240311,37,541.5048076923077,656.678600997217,8543.814821094496,22534.701680672268,2764.478260869565,4721.638758449713,18360.31940160149,23058.49159663865,31
38,20240311,38,544.3684210526316,662.4841063956964,8405.384716732555,18065.726368159205,2728.317307692308,4735.671797077977,18319.262870394356,22715.16475095785,32
39,20240311,39,511.6184210526316,658.774730591168,8452.255147496457,20696.77647058824,2254.314814814815,4731.217975094403,18444.684374189048,22144.46153846154,33
40,20240311,40,561.244776119403,669.360175,8532.482224919091,20776.9063670412,2910.705263157895,4798.544270705769,18367.32054894088,23120.449541284404,34
41,20240311,41,528.2,662.33331435585,8540.23724554707,20357.617283950614,2169.921568627451,4859.140811965812,18369.833279974882,23902.193308550184,35
42,20240311,42,539.4227272727272,647.3654376618271,8225.538947655023,19052.56862745098,2788.8762886597938,4974.227198604753,18411.088893533903,22608.90728476821,36
43,20240311,43,550.1931818181819,661.6031178335255,8378.119003880562,18158.88,2790.464912280702,4919.435288385548,18221.50084263633,23681.67088607595,37
44,20240311,44,559.0202429149798,664.2060310025649,8349.178407976478,18517.915,2901.0852713178297,5047.130009021843,18379.82005609574,22563.33962264151,38
45,20240311,45,568.4637223974763,666.3828125,8322.68148148148,21247.39075630252,2824.875,4939.25,18432.562814070352,23333.178666666667,39
46,20240311,46,493.54285714285714,684.6256308573412,8482.578242596603,22080.589641434264,2864.009900990099,4974.716346153847,18274.818698155643,21476.800711743774,40
47,20240311,47,556.8888888888889,666.2675491066734,7897.4521843317625,16580.946153846155,2661.6,4876.326908457396,18523.001728395033,23762.30975609756,41
48,20240311,48,537.3387096774194,668.7762141949489,8027.126987577648,23197.38431372549,2782.490909090909,4917.812259146159,18386.67134161491,22871.24705882353,42
49,20240311,49,535.978947368421,677.7723487903226,8151.099762867876,21118.275862068964,2830.6944444444443,4964.973960180996,18253.82084126984,20998.98119122257,43
50,20240311,50,546.0027777777777,690.1137296611435,8145.494905660357,18226.59232613909,2719.0377358490564,5005.881574074074,18516.719510869552,22019.94047619048,44
51,20240311,51,541.6088082901555,680.2893322127596,8160.138294270851,16129.746666666666,2763.81,4970.9992228739,18043.150076407648,22278.19163763066,45
52,20240311,52,564.6878612716763,674.612137254902,8192.268253288581,21489.909433962264,2690.119047619048,4982.474786247302,18096.726280392133,22815.064516129038,46
53,20240311,53,582.8867924528302,675.9098215643053,7909.812329656063,20861.735,2512.101694915254,5032.344218437708,18191.12456942355,22504.196911196912,47
54,20240311,54,565.5541666666667,682.7921770770164,7880.448309368197,20109.068965517243,2522.233644859813,5035.882831078523,18342.398158032454,22054.989399293285,48
55,20240311,55,544.4801587301587,684.344717085691,8004.700165214106,17268.560311284047,2616.244897959184,5057.384882420205,18226.280533216788,21697.8875,49
56,20240311,56,564.8367346938776,682.830814968815,7849.338907894699,19749.297872340427,2752.598484848485,5081.578603838027,18136.24460849989,20967.92093023256,50
57,20240311,57,559.0899653979238,692.7027788087552,7896.783477224398,19231.21671826625,2985.3212121212123,5089.611567460317,18049.65780995934,23296.63855421687,51
58,20240311,58,591.1475409836065,683.9233659488235,8020.063940476197,18718.08940397351,3439.9676113360324,5042.846178710442,18262.009248835406,21474.133136094675,52
59,20240311,59,528.2379679144385,683.3583371449846,7768.807656250002,19557.313901345293,3542.6390977443607,5061.743352380952,18195.056836607702,22565.502242152463,53
60,20240311,60,579.8083989501313,689.2964858523119,7866.920547263677,18600.684027777777,3467.769230769231,4970.573220911607,18077.477075268816,22211.27083333333,54
61,20240311,61,569.6164383561644,687.0252645514828,7899.363482250905,18346.56106870229,2734.872,5013.15743275076,18047.89333693675,22777.897119341564,55
62,20240311,62,552.528735632184,689.4973819444444,7605.711458837772,18395.439516129038,2991.103896103896,5057.523112149533,17972.105721468066,20816.219008264463,56
63,20240311,63,576.7209302325581,689.306551270815,7785.947493975904,17886.453125,3418.14,5111.585609243698,17863.892888349514,22733.384615384617,57
