,alpha,L,beta_factor,rho0,poltime_mode,poltime_dscore
2900,15.0,3.543589743589744,1.5,0.4,105.1051,90.0901
2901,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2902,15.0,3.543589743589744,1.5,0.4,75.0751,60.0601
2903,15.0,3.543589743589744,1.5,0.4,75.0751,65.0651
2904,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2905,15.0,3.543589743589744,1.5,0.4,60.0601,45.045
2906,15.0,3.543589743589744,1.5,0.4,65.0651,50.0501
2907,15.0,3.543589743589744,1.5,0.4,115.1151,100.1001
2908,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2909,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2910,15.0,3.543589743589744,1.5,0.4,80.0801,70.0701
2911,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2912,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2913,15.0,3.543589743589744,1.5,0.4,75.0751,60.0601
2914,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2915,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2916,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2917,15.0,3.543589743589744,1.5,0.4,55.0551,45.045
2918,15.0,3.543589743589744,1.5,0.4,85.0851,70.0701
2919,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2920,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2921,15.0,3.543589743589744,1.5,0.4,65.0651,50.0501
2922,15.0,3.543589743589744,1.5,0.4,60.0601,50.0501
2923,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2924,15.0,3.543589743589744,1.5,0.4,120.1201,105.1051
2925,15.0,3.543589743589744,1.5,0.4,60.0601,45.045
2926,15.0,3.543589743589744,1.5,0.4,55.0551,40.04
2927,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2928,15.0,3.543589743589744,1.5,0.4,60.0601,45.045
2929,15.0,3.543589743589744,1.5,0.4,60.0601,50.0501
2930,15.0,3.543589743589744,1.5,0.4,80.0801,65.0651
2931,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2932,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2933,15.0,3.543589743589744,1.5,0.4,65.0651,55.0551
2934,15.0,3.543589743589744,1.5,0.4,80.0801,65.0651
2935,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2936,15.0,3.543589743589744,1.5,0.4,65.0651,50.0501
2937,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2938,15.0,3.543589743589744,1.5,0.4,45.045,35.035
2939,15.0,3.543589743589744,1.5,0.4,70.0701,60.0601
2940,15.0,3.543589743589744,1.5,0.4,90.0901,75.0751
2941,15.0,3.543589743589744,1.5,0.4,35.035,20.02
2942,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2943,15.0,3.543589743589744,1.5,0.4,45.045,35.035
2944,15.0,3.543589743589744,1.5,0.4,50.0501,40.04
2945,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2946,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2947,15.0,3.543589743589744,1.5,0.4,60.0601,45.045
2948,15.0,3.543589743589744,1.5,0.4,50.0501,40.04
2949,15.0,3.543589743589744,1.5,0.4,60.0601,45.045
2950,15.0,3.543589743589744,1.5,0.4,85.0851,70.0701
2951,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2952,15.0,3.543589743589744,1.5,0.4,35.035,20.02
2953,15.0,3.543589743589744,1.5,0.4,45.045,35.035
2954,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2955,15.0,3.543589743589744,1.5,0.4,65.0651,50.0501
2956,15.0,3.543589743589744,1.5,0.4,60.0601,50.0501
2957,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2958,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2959,15.0,3.543589743589744,1.5,0.4,60.0601,50.0501
2960,15.0,3.543589743589744,1.5,0.4,80.0801,65.0651
2961,15.0,3.543589743589744,1.5,0.4,55.0551,45.045
2962,15.0,3.543589743589744,1.5,0.4,80.0801,65.0651
2963,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2964,15.0,3.543589743589744,1.5,0.4,100.1001,90.0901
2965,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2966,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2967,15.0,3.543589743589744,1.5,0.4,65.0651,50.0501
2968,15.0,3.543589743589744,1.5,0.4,60.0601,50.0501
2969,15.0,3.543589743589744,1.5,0.4,75.0751,65.0651
2970,15.0,3.543589743589744,1.5,0.4,60.0601,45.045
2971,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2972,15.0,3.543589743589744,1.5,0.4,55.0551,40.04
2973,15.0,3.543589743589744,1.5,0.4,70.0701,60.0601
2974,15.0,3.543589743589744,1.5,0.4,60.0601,45.045
2975,15.0,3.543589743589744,1.5,0.4,55.0551,40.04
2976,15.0,3.543589743589744,1.5,0.4,65.0651,50.0501
2977,15.0,3.543589743589744,1.5,0.4,55.0551,45.045
2978,15.0,3.543589743589744,1.5,0.4,105.1051,90.0901
2979,15.0,3.543589743589744,1.5,0.4,35.035,25.025
2980,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2981,15.0,3.543589743589744,1.5,0.4,90.0901,80.0801
2982,15.0,3.543589743589744,1.5,0.4,45.045,30.03
2983,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2984,15.0,3.543589743589744,1.5,0.4,55.0551,40.04
2985,15.0,3.543589743589744,1.5,0.4,80.0801,70.0701
2986,15.0,3.543589743589744,1.5,0.4,90.0901,80.0801
2987,15.0,3.543589743589744,1.5,0.4,40.04,30.03
2988,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2989,15.0,3.543589743589744,1.5,0.4,100.1001,85.0851
2990,15.0,3.543589743589744,1.5,0.4,70.0701,55.0551
2991,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2992,15.0,3.543589743589744,1.5,0.4,50.0501,40.04
2993,15.0,3.543589743589744,1.5,0.4,50.0501,35.035
2994,15.0,3.543589743589744,1.5,0.4,55.0551,40.04
2995,15.0,3.543589743589744,1.5,0.4,35.035,25.025
2996,15.0,3.543589743589744,1.5,0.4,55.0551,45.045
2997,15.0,3.543589743589744,1.5,0.4,40.04,25.025
2998,15.0,3.543589743589744,1.5,0.4,40.04,30.03
2999,15.0,3.543589743589744,1.5,0.4,65.0651,50.0501
4300,20.0,3.746153846153846,1.0,0.4,15.015,0.0
4301,20.0,3.746153846153846,1.0,0.4,10.01,0.0
4302,20.0,3.746153846153846,1.0,0.4,15.015,5.005
4303,20.0,3.746153846153846,1.0,0.4,50.0501,35.035
4304,20.0,3.746153846153846,1.0,0.4,15.015,5.005
4305,20.0,3.746153846153846,1.0,0.4,70.0701,55.0551
4306,20.0,3.746153846153846,1.0,0.4,25.025,15.015
4307,20.0,3.746153846153846,1.0,0.4,15.015,0.0
4308,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4309,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4310,20.0,3.746153846153846,1.0,0.4,30.03,15.015
4311,20.0,3.746153846153846,1.0,0.4,65.0651,50.0501
4312,20.0,3.746153846153846,1.0,0.4,30.03,20.02
4313,20.0,3.746153846153846,1.0,0.4,40.04,30.03
4314,20.0,3.746153846153846,1.0,0.4,25.025,10.01
4315,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4316,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4317,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4318,20.0,3.746153846153846,1.0,0.4,45.045,30.03
4319,20.0,3.746153846153846,1.0,0.4,15.015,5.005
4320,20.0,3.746153846153846,1.0,0.4,15.015,5.005
4321,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4322,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4323,20.0,3.746153846153846,1.0,0.4,30.03,15.015
4324,20.0,3.746153846153846,1.0,0.4,40.04,25.025
4325,20.0,3.746153846153846,1.0,0.4,30.03,15.015
4326,20.0,3.746153846153846,1.0,0.4,30.03,15.015
4327,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4328,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4329,20.0,3.746153846153846,1.0,0.4,25.025,10.01
4330,20.0,3.746153846153846,1.0,0.4,10.01,0.0
4331,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4332,20.0,3.746153846153846,1.0,0.4,30.03,15.015
4333,20.0,3.746153846153846,1.0,0.4,10.01,0.0
4334,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4335,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4336,20.0,3.746153846153846,1.0,0.4,15.015,0.0
4337,20.0,3.746153846153846,1.0,0.4,10.01,0.0
4338,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4339,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4340,20.0,3.746153846153846,1.0,0.4,20.02,5.005
4341,20.0,3.746153846153846,1.0,0.4,20.02,5.005
4342,20.0,3.746153846153846,1.0,0.4,55.0551,40.04
4343,20.0,3.746153846153846,1.0,0.4,55.0551,40.04
4344,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4345,20.0,3.746153846153846,1.0,0.4,20.02,5.005
4346,20.0,3.746153846153846,1.0,0.4,40.04,25.025
4347,20.0,3.746153846153846,1.0,0.4,10.01,0.0
4348,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4349,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4350,20.0,3.746153846153846,1.0,0.4,20.02,5.005
4351,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4352,20.0,3.746153846153846,1.0,0.4,20.02,5.005
4353,20.0,3.746153846153846,1.0,0.4,30.03,15.015
4354,20.0,3.746153846153846,1.0,0.4,20.02,10.01
4355,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4356,20.0,3.746153846153846,1.0,0.4,45.045,30.03
4357,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4358,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4359,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4360,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4361,20.0,3.746153846153846,1.0,0.4,75.0751,55.0551
4362,20.0,3.746153846153846,1.0,0.4,75.0751,60.0601
4363,20.0,3.746153846153846,1.0,0.4,55.0551,40.04
4364,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4365,20.0,3.746153846153846,1.0,0.4,35.035,15.015
4366,20.0,3.746153846153846,1.0,0.4,15.015,5.005
4367,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4368,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4369,20.0,3.746153846153846,1.0,0.4,10.01,0.0
4370,20.0,3.746153846153846,1.0,0.4,35.035,20.02
4371,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4372,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4373,20.0,3.746153846153846,1.0,0.4,35.035,20.02
4374,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4375,20.0,3.746153846153846,1.0,0.4,25.025,10.01
4376,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4377,20.0,3.746153846153846,1.0,0.4,35.035,20.02
4378,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4379,20.0,3.746153846153846,1.0,0.4,15.015,5.005
4380,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4381,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4382,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4383,20.0,3.746153846153846,1.0,0.4,30.03,15.015
4384,20.0,3.746153846153846,1.0,0.4,25.025,10.01
4385,20.0,3.746153846153846,1.0,0.4,15.015,5.005
4386,20.0,3.746153846153846,1.0,0.4,55.0551,45.045
4387,20.0,3.746153846153846,1.0,0.4,55.0551,40.04
4388,20.0,3.746153846153846,1.0,0.4,20.02,5.005
4389,20.0,3.746153846153846,1.0,0.4,0.0,0.0
4390,20.0,3.746153846153846,1.0,0.4,20.02,5.005
4391,20.0,3.746153846153846,1.0,0.4,25.025,15.015
4392,20.0,3.746153846153846,1.0,0.4,75.0751,60.0601
4393,20.0,3.746153846153846,1.0,0.4,65.0651,50.0501
4394,20.0,3.746153846153846,1.0,0.4,25.025,10.01
4395,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4396,20.0,3.746153846153846,1.0,0.4,95.0951,80.0801
4397,20.0,3.746153846153846,1.0,0.4,60.0601,45.045
4398,20.0,3.746153846153846,1.0,0.4,20.02,10.01
4399,20.0,3.746153846153846,1.0,0.4,5.005,0.0
4800,15.0,3.746153846153846,1.5,0.4,190.1902,170.1702
4801,15.0,3.746153846153846,1.5,0.4,125.1251,105.1051
4802,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4803,15.0,3.746153846153846,1.5,0.4,90.0901,65.0651
4804,15.0,3.746153846153846,1.5,0.4,85.0851,65.0651
4805,15.0,3.746153846153846,1.5,0.4,135.1351,115.1151
4806,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4807,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4808,15.0,3.746153846153846,1.5,0.4,100.1001,80.0801
4809,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4810,15.0,3.746153846153846,1.5,0.4,150.1502,130.1301
4811,15.0,3.746153846153846,1.5,0.4,50.0501,30.03
4812,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4813,15.0,3.746153846153846,1.5,0.4,75.0751,50.0501
4814,15.0,3.746153846153846,1.5,0.4,85.0851,60.0601
4815,15.0,3.746153846153846,1.5,0.4,80.0801,55.0551
4816,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4817,15.0,3.746153846153846,1.5,0.4,85.0851,65.0651
4818,15.0,3.746153846153846,1.5,0.4,170.1702,150.1502
4819,15.0,3.746153846153846,1.5,0.4,95.0951,75.0751
4820,15.0,3.746153846153846,1.5,0.4,125.1251,105.1051
