,alpha,L,beta_factor,rho0,poltime_mode,poltime_dscore
9100,20.0,5.569230769230769,1.0,0.4,1551.5516,170.1702
9101,20.0,5.569230769230769,1.0,0.4,540.5405,0.0
9102,20.0,5.569230769230769,1.0,0.4,4619.6196,3233.2332
9103,20.0,5.569230769230769,1.0,0.4,480.4805,0.0
9104,20.0,5.569230769230769,1.0,0.4,480.4805,0.0
9105,20.0,5.569230769230769,1.0,0.4,3438.4384,2647.6476
9106,20.0,5.569230769230769,1.0,0.4,165.1652,0.0
9107,20.0,5.569230769230769,1.0,0.4,1271.2713,485.4855
9108,20.0,5.569230769230769,1.0,0.4,600.6006,0.0
9109,20.0,5.569230769230769,1.0,0.4,3728.7287,2347.3473
9110,20.0,5.569230769230769,1.0,0.4,240.2402,0.0
9111,20.0,5.569230769230769,1.0,0.4,,
9112,20.0,5.569230769230769,1.0,0.4,520.5205,0.0
9113,20.0,5.569230769230769,1.0,0.4,1406.4064,30.03
9114,20.0,5.569230769230769,1.0,0.4,180.1802,0.0
9115,20.0,5.569230769230769,1.0,0.4,,
9116,20.0,5.569230769230769,1.0,0.4,4394.3944,3008.008
9117,20.0,5.569230769230769,1.0,0.4,4694.6947,3298.2983
9118,20.0,5.569230769230769,1.0,0.4,500.5005,0.0
9119,20.0,5.569230769230769,1.0,0.4,,4019.019
9120,20.0,5.569230769230769,1.0,0.4,3108.1081,1721.7217
9121,20.0,5.569230769230769,1.0,0.4,1376.3764,5.005
9122,20.0,5.569230769230769,1.0,0.4,645.6456,0.0
9123,20.0,5.569230769230769,1.0,0.4,1336.3363,0.0
9124,20.0,5.569230769230769,1.0,0.4,775.7758,0.0
9125,20.0,5.569230769230769,1.0,0.4,1251.2513,460.4605
9126,20.0,5.569230769230769,1.0,0.4,825.8258,40.04
9127,20.0,5.569230769230769,1.0,0.4,3013.013,1631.6316
9128,20.0,5.569230769230769,1.0,0.4,185.1852,0.0
9129,20.0,5.569230769230769,1.0,0.4,575.5756,0.0
9130,20.0,5.569230769230769,1.0,0.4,1181.1812,395.3954
9131,20.0,5.569230769230769,1.0,0.4,2567.5676,1191.1912
9132,20.0,5.569230769230769,1.0,0.4,750.7508,0.0
9133,20.0,5.569230769230769,1.0,0.4,615.6156,0.0
9134,20.0,5.569230769230769,1.0,0.4,,4009.009
9135,20.0,5.569230769230769,1.0,0.4,870.8709,0.0
9136,20.0,5.569230769230769,1.0,0.4,4309.3093,2927.9279
9137,20.0,5.569230769230769,1.0,0.4,1111.1111,320.3203
9138,20.0,5.569230769230769,1.0,0.4,,
